year,month,state,rainfall,soil_moisture,groundwater_level,population,population_consumption_per_month,LPCD,rainfall_z,soil_moisture_z,groundwater_z,LPCD_z,WSI_entropy,WSI_entropy_0_100,WSI_equal,WSI_equal_0_100,entropy_weight_LPCD_s,entropy_weight_rainfall_s,entropy_weight_soil_s,entropy_weight_groundwater_s
2019,12,Andhra Pradesh,723.9433817,17.1125133,4.678181818,53860848.58,2.25E+11,139.5,-0.631939854,-0.115293617,-0.550134074,0.760441997,0.873330999,90.72719964,0.755838207,79.50087213,0.626729372,0.112425164,0.138900277,0.121945187
2020,1,Andhra Pradesh,275.6747937,17.5625193,5.178181818,53903393,2.26E+11,139.5,-0.808009885,-0.049904319,-0.464699287,0.760441995,0.874801728,90.89201528,0.760261102,80.06375339,0.626729372,0.112425164,0.138900277,0.121945187
2020,3,Andhra Pradesh,532.4117388,16.76590963,5.305844156,53717327.5,2.25E+11,139.5,-0.707169266,-0.165657769,-0.442885678,0.76044199,0.874659112,90.87603318,0.758585626,79.85052343,0.626729372,0.112425164,0.138900277,0.121945187
2020,4,Andhra Pradesh,2397.700349,21.78841461,5.369675325,53624294.75,2.17E+11,135,0.025475028,0.564150439,-0.431978874,-1.315024693,0.204001775,15.7195666,0.420051614,36.76686761,0.626729372,0.112425164,0.138900277,0.121945187
2020,5,Andhra Pradesh,1856.050242,23.73367243,5.433506494,53531262,2.24E+11,139.5,-0.187273207,0.846811209,-0.421072069,0.760441995,0.8286082,85.7153891,0.668900807,68.43675185,0.626729372,0.112425164,0.138900277,0.121945187
2020,6,Andhra Pradesh,6069.320073,30.6946851,5.497337662,53438229.25,2.16E+11,135,1.46760641,1.858299341,-0.410165265,-1.315024689,0.121718171,6.498546325,0.253310669,15.54651983,0.626729372,0.112425164,0.138900277,0.121945187
2020,7,Andhra Pradesh,8004.725487,33.08619547,5.561168831,53345196.5,2.23E+11,139.5,2.227791041,2.205804002,-0.39925846,0.760441999,0.714939098,72.97718793,0.433176951,38.43726842,0.626729372,0.112425164,0.138900277,0.121945187
2020,8,Andhra Pradesh,5666.064545,33.68663718,5.625,53252163.75,2.23E+11,139.5,1.309216518,2.293052753,-0.388351655,0.760441993,0.739952956,75.78033807,0.489931889,45.66020657,0.626729372,0.112425164,0.138900277,0.121945187
2020,9,Andhra Pradesh,5577.266585,32.60409208,4.903333333,53159131,2.15E+11,135,1.274338635,2.13575071,-0.511662531,-1.315024691,0.121709193,6.497540167,0.256352675,15.9336618,0.626729372,0.112425164,0.138900277,0.121945187
2020,10,Andhra Pradesh,3708.307159,27.98459893,4.181666667,53066098.25,2.22E+11,139.5,0.540252525,1.464503189,-0.634973406,0.760441997,0.793237006,81.75155566,0.597110235,59.30029823,0.626729372,0.112425164,0.138900277,0.121945187
2020,11,Andhra Pradesh,3343.064504,24.4890627,3.46,52973065.5,2.15E+11,135,0.396793252,0.956575165,-0.758284281,-1.315024696,0.188604529,13.99409141,0.389423649,32.86898835,0.626729372,0.112425164,0.138900277,0.121945187
2020,12,Andhra Pradesh,665.6695199,23.90123865,3.810454545,52880032.75,2.21E+11,139.5,-0.654828544,0.871159855,-0.698402262,0.760441992,0.848350016,87.92773372,0.712012014,73.9233155,0.626729372,0.112425164,0.138900277,0.121945187
2021,1,Andhra Pradesh,619.9902757,19.05363429,4.160909091,52787000,2.21E+11,139.5,-0.672770345,0.16676604,-0.638520244,0.760441995,0.868270499,90.16010045,0.747756287,78.47232354,0.626729372,0.112425164,0.138900277,0.121945187
2021,3,Andhra Pradesh,27.89488232,13.95652274,4.214155844,52817833.33,2.21E+11,139.5,-0.905332378,-0.57388307,-0.629421994,0.760441995,0.896912928,93.36988231,0.802243146,85.40661378,0.626729372,0.112425164,0.138900277,0.121945187
2021,4,Andhra Pradesh,1090.274674,18.49961068,4.240779221,52833250,2.14E+11,135,-0.488052989,0.086262192,-0.624872869,-1.315024691,0.238005091,19.53011025,0.488942273,45.53426268,0.626729372,0.112425164,0.138900277,0.121945187
2021,5,Andhra Pradesh,1936.732814,22.48387776,4.267402597,52848666.67,2.21E+11,139.5,-0.15558287,0.66520653,-0.620323744,0.760441995,0.837515559,86.71358237,0.685657283,70.56927087,0.626729372,0.112425164,0.138900277,0.121945187
2021,6,Andhra Pradesh,2586.843734,23.97088661,4.294025974,52864083.33,2.14E+11,135,0.099766385,0.881280235,-0.615774619,-1.315024691,0.196586126,14.88854021,0.406794265,35.07966626,0.626729372,0.112425164,0.138900277,0.121945187
2021,7,Andhra Pradesh,5915.413245,27.67712759,4.320649351,52879500,2.21E+11,139.5,1.407155197,1.419825263,-0.611225494,0.760441995,0.767749053,78.89527669,0.539968737,52.0281645,0.626729372,0.112425164,0.138900277,0.121945187
2021,8,Andhra Pradesh,4181.819277,25.17246663,4.347272727,52894916.67,2.21E+11,139.5,0.726237658,1.055878958,-0.606676369,0.760441995,0.798989122,82.39616016,0.60491423,60.29347658,0.626729372,0.112425164,0.138900277,0.121945187
2021,9,Andhra Pradesh,6509.712658,26.90749446,2.923636364,52910333.33,2.14E+11,135,1.640582921,1.30799171,-0.849932507,-1.315024691,0.142656612,8.844989293,0.29127284,20.37778948,0.626729372,0.112425164,0.138900277,0.121945187
2021,10,Andhra Pradesh,3086.187933,26.21741678,1.5,52925750,2.21E+11,139.5,0.295897791,1.207718171,-1.093188644,0.760441995,0.818597184,84.5935158,0.648494685,65.83975921,0.626729372,0.112425164,0.138900277,0.121945187
2021,11,Andhra Pradesh,7092.902366,25.17023038,3.478181818,52941166.67,2.14E+11,135,1.869646997,1.055554015,-0.755177562,-1.315024691,0.140997732,8.659088783,0.284807556,19.55498273,0.626729372,0.112425164,0.138900277,0.121945187
2021,12,Andhra Pradesh,583.3280941,24.12304398,3.591363636,52956583.33,2.22E+11,139.5,-0.687170443,0.903389859,-0.735838233,0.760441995,0.849230592,88.02641451,0.714224817,74.20492864,0.626729372,0.112425164,0.138900277,0.121945187
2022,1,Andhra Pradesh,437.2736382,19.30238684,3.704545455,52972000,2.22E+11,139.5,-0.744537417,0.202911679,-0.716498904,0.760441995,0.871150259,90.4828175,0.754303822,79.30559797,0.626729372,0.112425164,0.138900277,0.121945187
2022,3,Andhra Pradesh,101.7925452,15.68302349,3.2,53002666.67,2.22E+11,139.5,-0.876307004,-0.323009368,-0.80271037,0.760441995,0.892580683,92.88439407,0.795057072,84.49207537,0.626729372,0.112425164,0.138900277,0.121945187
2022,4,Andhra Pradesh,274.091115,16.18644018,4.248636364,53018000,2.15E+11,135,-0.808631919,-0.249859091,-0.623530322,-1.315024691,0.257581752,21.723947,0.528286375,50.54140441,0.626729372,0.112425164,0.138900277,0.121945187
2022,5,Andhra Pradesh,2943.668985,23.27857939,5.297272727,53033333.33,2.22E+11,139.5,0.239919487,0.780682726,-0.444350275,0.760441995,0.818140581,84.54234707,0.644707152,65.35773738,0.626729372,0.112425164,0.138900277,0.121945187
2022,6,Andhra Pradesh,2985.482411,25.05185184,4.764242424,53048666.67,2.15E+11,135,0.25634288,1.038352712,-0.535428935,-1.315024691,0.185395307,13.6344535,0.384185551,32.2023599,0.626729372,0.112425164,0.138900277,0.121945187
2022,7,Andhra Pradesh,4544.456014,26.58076955,4.231212121,53064000,2.22E+11,139.5,0.868673384,1.260516094,-0.626507595,0.760441995,0.789099751,81.28791885,0.585398389,57.80978584,0.626729372,0.112425164,0.138900277,0.121945187
2022,8,Andhra Pradesh,4509.315778,26.72329936,3.698181818,53079333.33,2.22E+11,139.5,0.854871073,1.28122676,-0.717586255,0.760441995,0.790975008,81.4980674,0.589468019,58.32770883,0.626729372,0.112425164,0.138900277,0.121945187
2022,9,Andhra Pradesh,4769.477684,26.42315267,3.51,53094666.67,2.15E+11,135,0.957056941,1.237613162,-0.749740802,-1.315024691,0.163163407,11.14306043,0.336390396,26.11969194,0.626729372,0.112425164,0.138900277,0.121945187
2022,10,Andhra Pradesh,4622.053565,27.49027116,3.321818182,53110000,2.22E+11,139.5,0.899151993,1.3926736,-0.781895349,0.760441995,0.78781201,81.14360957,0.583571659,57.57730644,0.626729372,0.112425164,0.138900277,0.121945187
2022,11,Andhra Pradesh,1293.437154,21.6395446,3.133636364,53125333.33,2.15E+11,135,-0.40825524,0.542518493,-0.814049896,-1.315024691,0.22644916,18.23510779,0.468192878,42.89358337,0.626729372,0.112425164,0.138900277,0.121945187
2022,12,Andhra Pradesh,1478.869935,22.0088508,3.717727273,53140666.67,2.22E+11,139.5,-0.335421327,0.596181496,-0.714246532,0.760441995,0.847127315,87.79071311,0.705799728,73.13270661,0.626729372,0.112425164,0.138900277,0.121945187
2023,1,Andhra Pradesh,23.7647442,18.17426793,4.301818182,53156000,2.22E+11,139.5,-0.906954606,0.038987414,-0.614443168,0.760441995,0.878580659,91.31549703,0.769183539,81.19927069,0.626729372,0.112425164,0.138900277,0.121945187
2023,3,Andhra Pradesh,1546.649654,18.70071398,7.164444444,53186666.67,2.23E+11,139.5,-0.308798946,0.115484033,-0.12530744,0.760441995,0.847107114,87.78844931,0.702077109,72.65894618,0.626729372,0.112425164,0.138900277,0.121945187
2023,4,Andhra Pradesh,816.6808094,20.47956688,7.602222222,53202000,2.15E+11,135,-0.595514635,0.3739649,-0.050504539,-1.315024691,0.219757876,17.48525647,0.454218265,41.11509899,0.626729372,0.112425164,0.138900277,0.121945187
2023,5,Andhra Pradesh,2278.669838,24.00044488,6.876363636,53217333.33,2.23E+11,139.5,-0.021277536,0.885575277,-0.174531685,0.760441995,0.816843433,84.39698355,0.644194351,65.29247561,0.626729372,0.112425164,0.138900277,0.121945187
2023,6,Andhra Pradesh,1926.964653,23.12575273,9.284444444,53232666.67,2.16E+11,135,-0.159419588,0.758475848,0.236936054,-1.315024691,0.188703877,14.0052247,0.391093374,33.08148648,0.626729372,0.112425164,0.138900277,0.121945187
2023,7,Andhra Pradesh,5273.310953,26.41112546,9.118888889,53248000,2.23E+11,139.5,1.154951555,1.235865516,0.208647647,0.760441995,0.76220069,78.27350556,0.528565309,50.57690298,0.626729372,0.112425164,0.138900277,0.121945187
2023,8,Andhra Pradesh,2197.300712,22.8431917,6.891818182,53263333.33,2.23E+11,139.5,-0.053237537,0.717417579,-0.171890974,0.760441995,0.822701972,85.05351427,0.655134268,66.68474812,0.626729372,0.112425164,0.138900277,0.121945187
2023,9,Andhra Pradesh,4182.976548,26.09989443,9.238888889,53278666.67,2.16E+11,135,0.726692209,1.190641278,0.229151996,-1.315024691,0.149312293,9.59085081,0.308859783,22.6159982,0.626729372,0.112425164,0.138900277,0.121945187
2023,10,Andhra Pradesh,364.4342591,19.63064905,9.272222222,53294000,2.23E+11,139.5,-0.773147121,0.250610678,0.234847648,0.760441995,0.849024823,88.00335521,0.709446295,73.59678825,0.626729372,0.112425164,0.138900277,0.121945187
2023,11,Andhra Pradesh,1372.036308,20.11424872,10.457,53309333.33,2.16E+11,135,-0.377383223,0.32088139,0.437290121,-1.315024691,0.203642783,15.67933653,0.419642372,36.71478533,0.626729372,0.112425164,0.138900277,0.121945187
2023,12,Andhra Pradesh,2764.542618,23.13316885,10.703,53324666.67,2.23E+11,139.5,0.169562594,0.759553467,0.479324036,0.760441995,0.799934036,82.5020509,0.607596276,60.63480814,0.626729372,0.112425164,0.138900277,0.121945187
2024,1,Andhra Pradesh,25.20040411,17.81007759,11.458,53340000,2.23E+11,139.5,-0.90639071,-0.013932215,0.608330564,0.760441995,0.852374088,88.37868679,0.715064597,74.31180359,0.626729372,0.112425164,0.138900277,0.121945187
2024,3,Andhra Pradesh,63.61407176,15.02982551,8.39,53370666.67,2.23E+11,139.5,-0.891302667,-0.417924007,0.084102714,0.760441995,0.87570541,90.99328536,0.759840706,80.01025159,0.626729372,0.112425164,0.138900277,0.121945187
2024,4,Andhra Pradesh,73.14221602,15.28814294,-1.2795,53386000,2.16E+11,135,-0.887560222,-0.380388518,-1.568120622,-1.315024691,0.285250259,24.8245874,0.584463166,57.69076432,0.626729372,0.112425164,0.138900277,0.121945187
2018,1,Arunachal Pradesh,417.5841139,27.65540372,5.693333333,1528296,6395918760,139.5,-0.752271029,1.416668619,-0.376675568,0.760441995,0.827943003,85.6408445,0.674706698,69.17564073,0.626729372,0.112425164,0.138900277,0.121945187
2018,3,Arunachal Pradesh,905.5654681,27.65540372,5.9875,1531715,6410227275,139.5,-0.560602698,1.416668619,-0.326411435,0.760441995,0.820995488,84.86227901,0.659455508,67.23469236,0.626729372,0.112425164,0.138900277,0.121945187
2018,4,Arunachal Pradesh,2728.690805,27.65540372,5.4915,1533424.5,6210369240,135.0000003,0.155480791,1.416668619,-0.411162743,-1.315024541,0.174494515,12.41286843,0.365155196,29.78045471,0.626729372,0.112425164,0.138900277,0.121945187
2018,5,Arunachal Pradesh,3494.215762,27.65540372,4.9955,1535134,6424535790,139.5,0.456162138,1.416668619,-0.495914052,0.760441995,0.794037256,81.84123476,0.598840717,59.52052869,0.626729372,0.112425164,0.138900277,0.121945187
2018,6,Arunachal Pradesh,5447.647354,27.65540372,4.4995,1536843.5,6224216160,134.9999997,1.223427055,1.416668619,-0.58066536,-1.315024841,0.145985564,9.218044656,0.301092236,21.62745852,0.626729372,0.112425164,0.138900277,0.121945187
2018,9,Arunachal Pradesh,8271.568388,26.76396785,3.783333333,1541972,6244986600,135,2.332601057,1.287136202,-0.703036452,-1.315024691,0.118971312,6.19072261,0.238922263,13.71537401,0.626729372,0.112425164,0.138900277,0.121945187
2018,10,Arunachal Pradesh,7726.077751,23.3462033,4.059166667,1543681.5,6460307062,139.4999997,2.118344346,0.790508995,-0.655904929,0.76044184,0.765741845,78.67034118,0.527477308,50.43843814,0.626729372,0.112425164,0.138900277,0.121945187
2018,11,Arunachal Pradesh,2526.60918,22.05683477,4.335,1545391,6258833550,135,0.076107579,0.603153932,-0.608773405,-1.315024691,0.205331444,15.86857454,0.422798598,37.1164635,0.626729372,0.112425164,0.138900277,0.121945187
2018,12,Arunachal Pradesh,2002.705695,20.91220874,4.86375,1547100.5,6474615608,139.5000003,-0.129670175,0.436831056,-0.518426118,0.760442149,0.84114112,87.11987678,0.691271297,71.28374049,0.626729372,0.112425164,0.138900277,0.121945187
2019,1,Arunachal Pradesh,402.9237687,20.27327885,5.3925,1548810,6481769850,139.5,-0.75802929,0.343989679,-0.428078831,0.760441995,0.860861141,89.32977893,0.734320334,76.76239209,0.626729372,0.112425164,0.138900277,0.121945187
2019,3,Arunachal Pradesh,2978.628365,22.11705269,4.62,1552418,6496869330,139.5,0.253650762,0.611904054,-0.560075576,0.760441995,0.825319082,85.34679774,0.658108234,67.06323105,0.626729372,0.112425164,0.138900277,0.121945187
