year,month,state,rainfall,soil_moisture,groundwater_level,population,population_consumption_per_month
2018,8,Andhra Pradesh,6145.446113924,26.67372455483871,4.978181818181818,53180486.25,222560334964.0
2018,9,Andhra Pradesh,4526.272862211,26.41681759461538,4.534090909090908,53222961.0,215552992050.0
2018,10,Andhra Pradesh,2537.866011673,22.850871346898263,4.09,53265435.75,222915848606.0
2018,11,Andhra Pradesh,1124.015482965,16.060085401794872,5.359090909090909,53307910.5,215897037540.0
2018,12,Andhra Pradesh,1282.938239617,14.53392466153846,4.62625,53350385.25,223271362279.0
2019,1,Andhra Pradesh,189.91803598,12.790886160545906,6.41,53392860.0,223449119100.0
2019,2,Andhra Pradesh,83.044936974,11.731386599450548,0.65,53435404.416666664,201985828688.0
2019,3,Andhra Pradesh,155.811670316,10.724904367741935,3.9766666666666666,53477948.833333336,223805215852.0
2019,4,Andhra Pradesh,693.975580092,8.162663681538461,6.126060606060606,53520493.25,216757997670.0
2019,5,Andhra Pradesh,1415.772273266,12.198692872704711,8.275454545454545,53563037.666666664,224161312635.0
2019,6,Andhra Pradesh,2194.451444121,20.125926545384615,3.75,53605582.083333336,217102607430.0
2019,7,Andhra Pradesh,5132.744917256,27.137016789330023,5.276818181818182,53648126.5,224517409418.0
2019,8,Andhra Pradesh,6562.682193618,30.229131468734497,6.803636363636364,53690670.916666664,224695457794.0
2019,9,Andhra Pradesh,8142.582701999,31.637628932564105,13.05,53733215.333333336,217619522100.0
2019,10,Andhra Pradesh,7739.376349159,32.601895112655086,5.7,53775759.75,225051554546.0
2019,11,Andhra Pradesh,487.140671543,23.474278643589745,4.178181818181819,53818304.166666664,217964131860.0
2019,12,Andhra Pradesh,723.943381703,17.11251329503722,4.678181818181819,53860848.583333336,225407651329.0
2020,1,Andhra Pradesh,275.674793667,17.562519298759305,5.178181818181819,53903393.0,225585699705.0
2020,2,Andhra Pradesh,225.735488646,16.698893472413793,5.242012987012988,53810360.25,203403161752.0
2020,3,Andhra Pradesh,532.411738808,16.765909625310172,5.305844155844156,53717327.5,224807015572.0
2020,4,Andhra Pradesh,2397.700348914,21.78841460974359,5.369675324675325,53624294.75,217178393730.0
2020,5,Andhra Pradesh,1856.050242147,23.73367243126551,5.433506493506494,53531262.0,224028331470.0
2020,6,Andhra Pradesh,6069.320073141,30.69468510410256,5.497337662337663,53438229.25,216424828470.0
2020,7,Andhra Pradesh,8004.725486797,33.08619546674938,5.561168831168831,53345196.5,223249647368.0
2020,8,Andhra Pradesh,5666.064544604,33.68663717568238,5.625,53252163.75,222860305286.0
